SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-5.0,1.0,3.0,0.0,18.0,Optimal
-5.0,5.0,2.0,2.0,22.0,Optimal
-5.0,5.0,2.0,2.0,16.0,Optimal
-2.0,3.0,2.74,3.0,16.0,Optimal
-5.5,4.0,1.75,2.51,17.0,Optimal
-5.0,8.0,2.58,1.8,-30.0,Optimal
-5.0,1.0,0.0,2.31,22.0,Optimal
-5.0,6.0,1.76,1.79,16.0,Optimal
-3.5,3.0,2.88,2.64,-12.0,Optimal
-5.5,4.0,1.54,0.0,0.0,Optimal
-7.5,6.0,2.0,2.0,18.0,Optimal
-6.0,5.0,1.53,2.79,-6.0,Optimal
-4.0,4.0,1.0,1.0,4.0,Optimal
-4.0,5.0,1.72,2.45,-12.0,Optimal
-4.5,1.0,0.0,2.11,0.0,Optimal
-8.0,3.0,2.0,2.0,-6.0,Optimal
-6.0,5.0,2.0,2.0,0.0,Optimal
-4.7,3.0,2.88,2.64,0.0,Optimal
-4.5,4.0,1.82,2.75,-6.0,Optimal
-6.0,3.0,2.0,2.0,0.0,Optimal
-6.5,5.0,1.89,1.72,-12.0,Optimal
-7.5,5.0,2.0,0.0,12.0,Optimal
-3.8,6.0,2.47,2.24,0.0,Optimal
-4.0,4.0,2.24,2.37,12.0,Optimal
-7.0,3.0,2.0,2.0,-6.0,Optimal
-3.0,8.0,2.04,2.03,6.0,Optimal
-5.0,5.0,3.29,1.53,0.0,Optimal
-5.0,5.0,2.69,2.0,-6.0,Optimal
-4.0,1.0,2.0,2.0,-6.0,Optimal
-1.0,8.0,2.66,2.02,20.0,Optimal
-3.0,2.0,2.0,2.42,15.0,Optimal
-4.5,5.0,2.33,2.15,6.0,Optimal
-6.5,4.0,1.6,0.0,6.0,Optimal
-6.5,1.0,2.0,2.0,18.0,Optimal
-6.0,5.0,1.6,0.0,-6.0,Optimal
-6.0,5.0,2.76,2.21,0.0,Optimal
-7.0,6.0,2.0,2.0,19.0,Optimal
-4.0,5.0,2.21,1.32,0.0,Optimal
-6.0,2.0,2.0,2.0,0.0,Optimal
-4.5,5.0,2.59,1.76,12.0,Optimal
-4.5,4.0,1.46,0.0,-12.0,Optimal
-4.0,5.0,1.82,2.75,-24.0,Optimal
-6.0,4.0,0.0,0.0,0.0,Optimal
-6.0,6.0,2.0,2.0,12.0,Optimal
-6.0,6.0,2.0,2.0,0.0,Optimal
-5.5,7.0,2.02,2.22,21.0,Optimal
-6.5,2.0,2.0,2.0,6.0,Optimal
-4.5,6.0,2.0,2.0,9.0,Optimal
-5.0,3.0,2.0,2.0,0.0,Optimal
-6.0,4.0,2.0,2.0,12.0,Optimal
-5.5,2.0,2.0,2.0,-6.0,Optimal
-5.5,3.0,2.0,2.0,6.0,Optimal
-3.5,5.0,2.18,2.08,0.0,Optimal
-4.5,7.0,2.0,2.0,10.0,Optimal
-6.0,5.0,2.07,2.33,6.0,Optimal
-7.0,4.0,2.0,2.0,-6.0,Optimal
-5.5,6.0,2.0,2.0,11.0,Optimal
-3.0,6.0,2.0,2.0,13.0,Optimal
-6.0,5.0,2.02,0.0,-6.0,Optimal
-2.0,7.0,2.0,2.0,8.0,Optimal
-8.0,8.0,2.0,2.0,8.0,Optimal
-5.0,4.0,2.81,2.69,0.0,Optimal
-5.5,2.0,2.1,1.94,0.0,Optimal
-6.0,3.0,1.53,2.83,-6.0,Optimal
-7.0,2.0,2.92,3.29,6.0,Optimal
-6.0,4.0,1.94,1.94,0.0,Optimal
-6.0,4.0,1.22,1.76,-12.0,Optimal
-7.0,3.0,2.0,2.0,0.0,Optimal
-7.0,2.0,2.0,0.0,6.0,Optimal
-5.5,3.0,2.0,2.0,6.0,Optimal
-6.0,5.0,1.68,2.81,0.0,Optimal
-7.0,3.0,2.0,2.0,-6.0,Optimal
-5.0,5.0,2.0,2.0,0.0,Optimal
-6.0,3.0,2.0,2.0,-6.0,Optimal
-7.0,3.0,2.0,0.0,-12.0,Optimal
-7.0,4.0,2.0,2.0,0.0,Optimal
-4.5,8.0,2.25,2.06,6.0,Optimal
-4.5,6.0,2.0,2.0,6.0,Optimal
-5.699999999999999,3.0,2.83,1.9,6.0,Optimal
-6.0,4.0,2.85,2.23,0.0,Optimal
-4.5,6.0,2.35,0.0,6.0,Optimal
-7.0,1.0,0.0,1.0,0.0,Optimal
-7.0,1.0,2.49,0.0,-6.0,Optimal
-6.0,1.0,1.87,1.5,12.0,Optimal
-5.0,7.0,2.03,1.8,0.0,Optimal
-4.5,5.0,1.74,1.87,6.0,Optimal
-7.0,3.0,2.0,2.0,6.0,Optimal
-5.0,8.0,2.54,2.32,0.0,Optimal
-5.5,6.0,2.02,0.0,0.0,Optimal
-3.0,4.0,1.33,2.05,-18.0,Optimal
-4.0,3.0,2.37,2.73,-6.0,Optimal
-4.6,6.0,2.11,2.42,0.0,Optimal
-5.0,6.0,2.76,2.52,0.0,Optimal
-3.0,7.0,2.24,2.37,0.0,Optimal
-6.0,1.0,0.0,1.0,12.0,Optimal
-5.5,4.0,2.03,1.42,0.0,Optimal
-5.0,4.0,2.0,2.0,-6.0,Optimal
