Appetite,pEffort,Sex_F,SleepInd,SleepInd(-1),SleepInd(-2),uaI,uaI(-1),uaI(-2),pEffort(-1),pEffort(-2),Appetite(-1),Appetite(-2),FatigInd
4.0,5.0,0,-4.800000000000001,-5.0,-5.5,2.0,2.0,2.0,5.0,4.0,4.0,4.0,Optimal
5.0,2.0,1,-3.0,-3.0,-7.0,3.67,2.91,2.0,4.0,4.0,5.0,6.0,Optimal
6.0,7.0,1,-5.0,-5.0,-5.0,2.45,2.61,2.64,6.0,7.0,6.0,6.0,Optimal
4.0,4.0,0,-3.0,-3.0,-5.0,2.32,1.69,2.31,3.0,5.0,4.0,5.0,Optimal
5.0,3.0,1,-5.0,-6.5,-10.0,1.9,1.6,0.0,4.0,1.0,4.0,5.0,Optimal
6.0,7.0,1,-4.0,-6.0,-5.0,2.0,2.0,2.0,6.0,8.0,6.0,6.0,Optimal
6.0,6.0,1,-3.5,-6.0,-4.0,1.8,0.0,2.54,1.0,8.0,6.0,6.0,Optimal
6.0,1.0,1,-9.0,-4.0,-3.0,0.0,1.51,0.0,8.0,5.0,7.0,6.0,Optimal
4.0,5.0,0,-4.0,-4.0,-3.0,2.47,2.76,2.44,6.0,6.0,4.0,3.0,Optimal
5.0,4.0,1,-6.0,-7.0,-5.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,Optimal
5.0,3.0,1,-4.0,-6.0,-5.0,2.64,2.85,2.23,4.0,4.0,5.0,6.0,Optimal
6.0,3.0,1,-5.5,-6.0,-7.0,2.0,2.0,2.0,3.0,2.0,6.0,6.0,Optimal
6.0,3.0,1,-6.0,-6.0,-5.5,2.0,2.0,2.0,3.0,3.0,6.0,6.0,Optimal
4.0,5.0,1,-4.1,-5.0,-6.5,2.76,2.52,1.85,5.0,4.0,5.0,5.0,Optimal
6.0,6.0,1,-5.0,-5.0,-5.0,2.12,2.2,1.93,6.0,5.0,6.0,6.0,Optimal
