Name,Date,Appetite,SleepInd,StSpirit,pEffort,uaI,uaI(-1),DeltaWt (%),DeltaHrtwo,FatigInd,Sex_F
268.1473859738015,1577178644,6.0,-6.617538008732837,4.382461991267163,1.0,0.0,0.827500931702002,0.0010309482616574872,3.7052280523970236,Low/Minimal,1
270.0,1584144000,6.0,-6.0,5.0,1.0,2.0,2.0,0.0,12.0,Low/Minimal,1
267.0,1584057600,6.0,-5.0,6.0,4.0,2.0,2.0,0.0,8.0,Low/Minimal,1
270.0,1572134400,5.0,-6.0,5.0,1.0,0.0,1.86,-0.005102040816326481,6.0,Low/Minimal,1
271.0,1588982400,6.0,-6.0,5.0,2.0,2.0,0.0,-0.00439560439560438,6.0,Low/Minimal,1
267.56023837305474,1585934197,5.140059593263679,-5.140059593263679,5.859940406736321,6.299702033681603,2.0,2.0,-0.005657502675896816,6.859940406736321,Low/Minimal,1
267.0,1585456022,6.0,-5.092725354002722,5.604849763998185,7.0,2.0,2.0,-0.007899096394922086,5.185450708005443,Low/Minimal,1
270.0,1576972800,6.0,-5.0,5.0,1.0,1.0,1.0,-0.0025062656641604564,0.0,Low/Minimal,1
271.0,1578387600,6.0,-6.3854165025399166,5.0,1.0,0.0,1.1246878003519536,0.0,-1.3750019695210067,Low/Minimal,1
268.8670515729919,1589068800,6.0,-7.29985566012803,3.93352578649596,3.1329484270080803,1.0664742135040401,2.0,0.002060763325598156,2.531793708032321,Low/Minimal,1
267.9785543587294,1589111073,6.0,-7.510722820635305,3.489277179364695,4.266084230952957,2.0,2.0,0.0005376672300710917,9.02144564127061,Low/Minimal,1
271.0,1585008000,6.0,-5.5,5.0,2.0,2.0,2.0,0.0,-6.0,Low/Minimal,1
267.0,1589068800,6.0,-8.0,3.0,5.0,2.0,2.0,0.0,10.0,Low/Minimal,1
283.0,1704412800,6.0,-5.0,4.0,1.0,0.0,1.16,0.0,0.0,Low/Minimal,1
271.0,1589068800,6.0,-6.5,5.0,1.0,0.0,2.0,0.004415011037527616,-6.0,Low/Minimal,1
271.0,1589587200,6.0,-5.0,5.0,2.0,2.0,2.0,-0.002192982456140302,6.0,Low/Minimal,1
267.0,1585440000,6.0,-8.0,4.0,5.0,2.0,2.0,0.013245033112582849,9.0,Low/Minimal,1
271.0,1577750400,6.0,-7.0,5.0,1.0,0.0,0.0,0.0,6.0,Low/Minimal,1
267.0,1587859200,8.0,-6.0,5.0,1.0,1.0,2.0,0.0,5.0,Low/Minimal,1
270.0,1580342400,6.0,-4.0,5.0,1.0,0.0,0.0,0.0024449877750611915,0.0,Low/Minimal,1
283.0,1734519434,5.0,-6.2051273301300585,3.0,1.0,0.0,1.1205127330130058,-0.004878346552989571,1.4461527961560703,Low/Minimal,1
270.7688070227394,1587370762,6.1155964886302945,-5.528899122157574,5.0,1.9422017556848528,1.9422017556848528,0.11559648863029448,0.0041875633585993725,5.942201755684852,Low/Minimal,1
268.70310098346,1577096550,6.0,-5.864599344360017,4.567700327819992,2.7031009834599744,0.5677003278199915,1.1469818885412029,-0.0021310631756474778,2.593798033080051,Low/Minimal,1
267.0,1581811200,6.0,-6.0,4.0,6.0,2.18,2.05,0.0,6.0,Low/Minimal,1
271.0,1589500800,6.0,-6.0,5.0,2.0,2.0,2.0,-0.002188183807439792,6.0,Low/Minimal,1
283.0,1733370688,5.0,-9.13317673246114,3.0,1.0,0.0,1.239953019738342,0.00448696173153194,4.959812078953368,Low/Minimal,1
271.0,1585958400,6.0,-5.5,5.0,2.0,2.0,2.0,0.0,6.0,Low/Minimal,1
267.0,1588083791,6.0,-4.000347570711861,3.6001390282847447,6.399860971715255,2.0,1.3998609717152555,0.002941857981787953,20.801112226277958,Low/Minimal,1
283.0,1706227200,6.0,-10.5,4.0,1.0,0.0,1.89,0.0,0.0,Low/Minimal,1
283.0,1708223932,5.449754133369765,-10.114827893358836,4.550245866630235,1.0,0.5502458666302343,1.9505270453293257,0.0,0.0,Low/Minimal,1
283.0,1733011200,5.0,-10.0,3.0,1.0,0.0,1.5,0.0017421602787457413,6.0,Low/Minimal,1
283.0,1712880000,6.0,-7.0,4.0,1.0,0.0,2.0,0.0,0.0,Low/Minimal,1
271.0,1579996800,6.0,-6.5,5.0,1.0,0.0,1.83,0.0,0.0,Low/Minimal,1
267.0,1585612800,6.0,-6.0,5.0,7.0,2.0,2.0,-0.004934210526315819,7.0,Low/Minimal,1
271.0,1583020800,6.0,-6.0,5.0,1.0,0.0,2.64,0.0,-6.0,Low/Minimal,1
271.0,1577664000,6.0,-7.0,5.0,1.0,0.0,0.0,0.0,6.0,Low/Minimal,1
271.0,1585785600,6.0,-6.0,5.0,2.0,2.0,2.0,0.0,6.0,Low/Minimal,1
270.0,1580040035,6.0,-7.332779646944657,5.0,4.332779646944657,0.0,1.5247466884771808,0.0,18.99584735208493,Low/Minimal,1
270.39106060757325,1577265787,6.0,-6.391060607573241,4.608939392426759,1.0,0.0,0.0,0.004655483423490946,-2.3463636454394448,Low/Minimal,1
267.0,1576108800,6.0,-6.0,2.0,6.0,2.69,2.43,0.001677852348993314,-6.0,Low/Minimal,1
271.0,1588723200,6.0,-6.0,5.0,2.0,2.0,2.0,-0.0066225165562914245,6.0,Low/Minimal,1
283.0,1735084800,5.0,-5.0,3.0,1.0,0.0,0.0,0.017574692442882345,0.0,Low/Minimal,1
271.0,1587427200,6.0,-5.5,5.0,2.0,2.0,2.0,-0.006637168141592875,6.0,Low/Minimal,1
270.0,1577059200,6.0,-5.0,5.0,4.0,1.0,1.0,-0.005025125628140725,0.0,Low/Minimal,1
271.0,1585612800,6.0,-6.0,5.0,2.0,2.0,2.0,0.0022321428571427937,-6.0,Low/Minimal,1
267.0,1585958400,5.0,-5.0,6.0,7.0,2.0,2.0,-0.006578947368421018,7.0,Low/Minimal,1
270.0,1577577600,6.0,-6.0,4.0,1.0,1.0,1.0,0.0,4.0,Low/Minimal,1
267.0,1584144000,6.0,-7.0,5.0,2.0,2.0,2.0,0.0033444816053511683,13.0,Low/Minimal,1
271.0,1576972800,6.0,-6.0,5.0,1.0,0.0,1.0,0.004784688995215225,-6.0,Low/Minimal,1
267.0,1585785600,6.0,-6.0,5.0,6.0,2.0,2.0,0.009884678747940745,8.0,Low/Minimal,1
267.0,1587991777,6.465542680860608,-6.0,3.4655426808606085,6.37060061698787,1.7672286595696958,2.0,-0.0012475262757230552,5.0,Low/Minimal,1
267.0,1577145600,6.0,-7.0,4.0,1.0,0.0,1.34,0.0016694490818029983,6.0,Low/Minimal,1
267.0,1574899200,6.0,-5.5,4.0,4.0,1.87,2.85,0.006644518272425293,-6.0,Low/Minimal,1
267.0,1576022400,6.0,-6.0,2.0,5.0,2.43,2.0,-0.0033444816053511683,-6.0,Low/Minimal,1
270.0,1577232000,6.0,-6.0,5.0,1.0,0.0,0.0,0.0,0.0,Low/Minimal,1
271.0,1586304000,6.0,-5.5,5.0,2.0,2.0,2.0,-0.00222717149220486,6.0,Low/Minimal,1
271.0,1588900301,6.0,-6.0,5.0,2.0,2.0,0.6334729623490836,-0.00510094871726519,6.0,Low/Minimal,1
283.0,1705017600,6.0,-6.0,4.0,1.0,0.0,1.89,0.0,0.0,Low/Minimal,1
271.0,1582588800,6.0,-7.0,5.0,1.0,0.0,0.0,0.0,0.0,Low/Minimal,1
